,x,y,words
436,-45.68434,10.181793,weeks
437,-11.374429,-19.99885,men
438,26.217087,20.808731,asked
439,-23.57861,14.368091,eight
440,9.89397,-25.156763,data
441,-26.78643,44.9302,shot
442,-0.33841443,-4.7294044,New
443,-4.816441,21.613722,started
444,-50.45429,2.7851298,July
445,-11.926533,-45.566067,director
446,-15.074954,-44.3628,President
447,-42.742683,-11.121294,party
448,-29.92663,-28.634773,federal
449,25.247694,13.439573,done
450,-19.799967,-49.386402,political
451,-44.69472,14.457056,minutes
452,9.790023,50.73074,taking
453,9.928719,-46.13034,Company
454,18.12932,-35.921654,technology
455,6.1543136,-31.955315,project
456,-26.633749,-5.704383,center
457,-0.19384573,11.223779,leading
458,52.69202,5.683409,issue
459,9.185471,2.8738132,though
460,5.400484,12.442106,having
461,-10.62752,2.9102325,period
462,31.952934,12.923307,likely
463,-30.954617,26.20525,scored
464,-30.098448,13.974768,8
465,43.72748,-4.536061,strong
466,-25.52927,16.990124,series
467,-37.139534,-52.25684,military
468,20.151182,23.152475,seen
469,39.11269,16.894487,trying
470,38.98784,36.787838,What
471,1.2869765,41.865486,coming
472,1.7128628,-11.982682,process
473,-22.800741,-7.853876,building
474,8.055151,-9.738734,behind
475,11.241328,-8.647159,performance
476,14.970533,-39.8881,management
477,-39.056705,-47.74978,Iraq
478,7.8126817,16.667702,saying
479,-9.773512,11.349591,earlier
480,21.202248,17.70952,believe
481,-18.700026,-67.41841,oil
482,14.489397,44.93325,given
483,-12.501287,-38.18563,Police
484,21.438997,-45.995834,customers
485,9.001056,5.683083,due
486,-7.471279,11.918413,following
487,3.2287207,2.3170068,term
488,-9.9417,-23.16906,others
489,25.424644,-14.118576,statement
490,-33.507004,-36.982613,international
491,16.835289,-56.36753,economy
492,-26.513195,-13.19815,health
493,18.01885,6.8033075,thing
494,-30.222984,-48.401447,Obama
495,-7.014307,42.2925,return
496,-23.634445,38.782475,killed
497,-48.69867,-25.251982,Washington
498,27.648548,-1.694192,further
499,38.350796,43.501793,However
500,25.291527,13.524196,doing
501,60.918114,30.034466,face
502,-9.462235,26.788263,low
503,-7.4717264,28.704222,higher
504,12.428811,-29.100859,site
505,-5.3655586,2.2623014,once
506,8.340062,4.426809,yet
507,-44.900215,12.147595,hours
508,-38.673763,-33.321842,America
509,46.047226,-23.710394,control
510,12.786715,44.154343,received
511,-0.03760238,-28.644815,rate
512,-38.36428,8.340757,career
513,-29.89216,-47.862278,Bush
514,-44.040607,27.039417,teams
515,12.312887,24.584105,known
516,18.477823,43.36787,offer
517,-0.6383455,-24.283043,race
518,10.369775,6.9868584,ever
519,31.601349,1.6324093,experience
520,-38.232185,27.998468,playing
521,22.290827,-7.919154,name
522,36.074886,6.6726584,possible
523,-36.773617,-32.495525,countries
524,-65.95801,-22.018906,Mr.
525,-31.67687,8.104262,average
526,35.1565,-11.290128,together
527,13.825476,33.514473,using
528,-30.24767,15.296919,9
529,-9.209887,31.183989,cut
530,38.182564,44.21554,While
531,-26.100765,10.929794,total
532,-17.05289,23.17674,round
533,-10.083792,-8.577484,young
534,-18.511307,8.432734,nearly
535,12.432088,-55.179287,shares
536,-8.325124,-33.6659,member
537,1.2696278,-25.908422,campaign
538,24.632261,-22.656546,media
539,32.488033,19.156078,needs
540,13.368653,4.1522384,why
541,-20.502043,-5.605757,house
542,52.91121,5.8181705,issues
543,19.29391,-21.442703,costs
544,33.896816,-34.184086,fire
545,-29.629208,19.88094,##-#
546,-29.71308,31.093523,victory
547,-42.776386,29.231596,player
548,-4.762576,21.651266,began
549,43.7014,22.424074,sure
550,7.595576,-19.864115,story
551,-32.91614,5.4277315,per_cent
552,-41.046032,-21.043306,North
553,48.298847,34.303696,His
554,-3.8611894,-29.516483,staff
555,29.232576,4.3854613,order
556,-37.924385,-47.959057,war
557,45.245758,-16.03436,large
558,27.896635,-6.4188695,interest
559,12.482114,-55.11532,stock
560,30.662853,-26.850494,food
561,5.4727798,-26.089289,research
562,51.4261,-11.632923,key
563,-38.98324,-41.206852,India
564,-40.816063,-20.995049,South
565,-44.119946,0.2623759,morning
566,25.07088,-25.54503,conference
567,-40.752876,20.825369,senior
568,-34.794483,-35.134106,global
569,-24.495338,-33.27331,Center
570,-25.698137,39.169807,death
571,-11.530091,-17.15947,person
572,19.504835,14.407911,thought
573,14.863722,46.519176,gave
574,18.254301,16.655273,feel
575,-20.350302,-64.78817,energy
576,1.785992,-2.8078985,history
577,2.7528155,10.54073,recently
578,49.657604,-16.44935,largest
579,-21.142956,25.551985,No.
580,-8.460231,-46.49425,general
581,-8.57118,-39.474964,official
582,0.12298878,26.49918,released
583,29.292818,18.674057,wanted
584,14.5604515,29.178009,meet
585,4.415374,1.9053532,short
586,-8.793883,-0.38611886,outside
587,-15.057883,29.277224,running
588,-12.507349,-5.6793485,live
589,-35.944847,29.127674,ball
590,16.647509,-29.587008,online
591,18.085163,2.712496,real
